"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
2.01823277101609e-75,0.622509921298816,0.995,0.908,3.27700455029882e-71,"Cyto_2","ILF3"
4.54358258147525e-69,0.657217926466935,0.998,0.887,7.37741503754137e-65,"Cyto_2","IL2RG"
5.60799172538805e-67,0.630907523727187,0.891,0.54,9.10569616451258e-63,"Cyto_2","IL16"
2.16952918909387e-54,0.731160071277212,0.975,0.804,3.52266454433172e-50,"Cyto_2","CCL5"
2.43785584148192e-50,0.523606619101128,0.772,0.443,3.95834652981419e-46,"Cyto_2","CXCR3"
5.977898635256e-41,0.474829051891125,0.918,0.622,9.70631401406517e-37,"Cyto_2","IL2RB"
1.37223817326072e-37,0.453690024201083,0.856,0.541,2.22810312192343e-33,"Cyto_2","CXCR4"
2.29525184788878e-36,-0.659254526011825,0.592,0.774,3.72680042541702e-32,"Cyto_2","IL4I1"
1.2262092329841e-28,-0.788196759469689,0.045,0.308,1.99099593159629e-24,"Cyto_2","CXCL10"
3.23955922731992e-28,-0.767405499874488,0.757,0.857,5.26007231739935e-24,"Cyto_2","CCL18"
2.93093114041676e-25,-0.45853913791543,0.399,0.63,4.7589528926947e-21,"Cyto_2","IFNGR2"
1.87683211085627e-22,0.263938274050771,0.96,0.739,3.04741229839732e-18,"Cyto_2","CCL19"
6.71909629134075e-21,-0.367707533245376,0.089,0.315,1.090979664825e-16,"Cyto_2","IL1RN"
6.7687929497584e-19,-0.637010388714204,0.314,0.511,1.09904891125227e-14,"Cyto_2","CXCL11"
1.27012879030952e-18,-0.387304021557012,0.861,0.894,2.06230811682557e-14,"Cyto_2","TNFAIP2"
5.54083831280125e-18,-0.302586312540835,0.099,0.307,8.99665916849539e-14,"Cyto_2","CXCL16"
1.45530938702618e-15,-0.323451032836734,0.22,0.42,2.36298585171441e-11,"Cyto_2","IL18BP"
4.07587452450531e-15,-0.27329193135327,0.092,0.273,6.61799746543927e-11,"Cyto_2","TNFAIP6"
1.11992648325831e-13,-0.250733145026135,0.097,0.267,1.81842463086652e-09,"Cyto_2","TNFAIP3"
1.66194910224035e-13,-0.283549044036574,0.319,0.503,2.69850675730765e-09,"Cyto_2","TNFSF13B"
7.98605259119865e-13,-0.25646172920829,0.079,0.238,1.29669535923293e-08,"Cyto_2","IFNG"
9.18318280657178e-08,-0.368210302039762,0.104,0.214,0.00149107339230306,"Cyto_2","CCL22"
9.14339433521397e-07,-0.437353701876078,0.498,0.617,0.0148461293820869,"Cyto_2","CCL21"
5.7974200717311e-83,-0.839767048640964,0.977,0.98,9.41327097046978e-79,"Cyto_3","IL32"
5.4866934721052e-66,-0.896834903048395,0.358,0.763,8.90874419065721e-62,"Cyto_3","IL7R"
4.81722370736152e-49,-0.641498848920026,0.27,0.659,7.82172613364291e-45,"Cyto_3","CXCR4"
1.33449467829222e-45,-0.614047883659778,0.831,0.921,2.16681900914308e-41,"Cyto_3","IL2RG"
