"gene","corr_estimate","pvalue"
"ST6GALNAC2",-0.110058743349089,1.39968654787323e-55
"FAM114A1",-0.110008905523329,1.56681585252385e-55
"VPS13D",-0.109904529598078,1.98398901025184e-55
"KCNIP2",-0.109837614583988,2.3078801447856e-55
"WLS",-0.109727768617148,2.95756188264237e-55
"MAOA",-0.109723922588666,2.98334492679064e-55
"PKP3",-0.109714310760491,3.04876375228221e-55
"MCUR1",-0.109707260389168,3.09765556208213e-55
"NCCRP1",-0.109690996397841,3.21343922988085e-55
"IGSF3",-0.109661512852744,3.43443007355939e-55
"PDZD2",-0.109580851183657,4.11943239602403e-55
"PTK2",-0.109475322382054,5.22492941610764e-55
"SIK2",-0.109428697756637,5.80313892850202e-55
"COL5A1",-0.109373305546644,6.57342158913502e-55
"RHPN2",-0.109297406667244,7.79675029523682e-55
"MCAM",-0.109167299068072,1.04436875381184e-54
"SLC25A4",-0.108989462579262,1.55636912362504e-54
"STAP2",-0.108861865042103,2.07132762766923e-54
"TPRG1",-0.108834059200354,2.20435098869568e-54
"TENT5B",-0.108829427771925,2.22731986903429e-54
"WFDC3",-0.10880298490008,2.36309883332323e-54
"MAP7",-0.10867246470962,3.16401767364474e-54
"PPARG",-0.108658674021654,3.26304412568291e-54
"EPHX2",-0.108608782670701,3.64778098837913e-54
"PALLD",-0.108591366490034,3.79246029961963e-54
"GPC3",-0.108476781504549,4.8976824050406e-54
"SORBS2",-0.108401373271906,5.79455902236389e-54
"ACAT1",-0.108393082739937,5.90263981916297e-54
"ACPP",-0.108307096633597,7.14909210396637e-54
"HOOK2",-0.108295503270622,7.33608071021256e-54
"EPHX3",-0.108293382949917,7.37080230128607e-54
"ACSBG1",-0.108286769228708,7.48016094252727e-54
"PTPRS",-0.108265706117815,7.83932358976e-54
"EBF1",-0.108216102630279,8.75444013621075e-54
"EFEMP1",-0.108175353137151,9.58523252086554e-54
"SLC25A23",-0.108170469761741,9.68992047783574e-54
"ITGB1BP1",-0.108132600892014,1.05413420221719e-53
"LRP4",-0.108113877880097,1.09894192772734e-53
"ADCY6",-0.108074013037875,1.20076336506412e-53
"SH3BGRL2",-0.108052205512311,1.26038366886013e-53
"SPPL3",-0.108043190638856,1.28588255701192e-53
"TOM1L1",-0.10802634731634,1.33490885551204e-53
"MYO1C",-0.107950799872747,1.5787289291711e-53
"HILPDA",-0.107928615676996,1.65840878246207e-53
"MAB21L4",-0.107905167916033,1.74698328342281e-53
"MYO18A",-0.107860800348352,1.92767218755461e-53
"ALOXE3",-0.107844486399828,1.99869173079997e-53
"SLURP2",-0.107762078270294,2.39927259913745e-53
"SUN1",-0.107755776508584,2.43300905833427e-53
"PIK3C2G",-0.107735452829157,2.54506323217606e-53
"KRTDAP",-0.1077202801504,2.63205429755851e-53
"LYPD5",-0.107709133717549,2.69784188796833e-53
"ITGA7",-0.107684801945423,2.8471941594627e-53
"RNF225",-0.107616941810122,3.30865773547277e-53
"CCL14",-0.107507621724746,4.21361414815192e-53
"ARHGEF28",-0.107465746330861,4.62218964633294e-53
"PPP2R3A",-0.107456358532209,4.71906773944897e-53
"MATN4",-0.107299758319196,6.66823105154392e-53
"CGNL1",-0.107258501171766,7.3035267073324e-53
"IGSF8",-0.107171818889919,8.84135908055938e-53
"OLFML2A",-0.107138167861716,9.52175342685162e-53
"CBLC",-0.107126900410772,9.76102747193154e-53
"ZNF219",-0.106973473154039,1.36820683770781e-52
"PRSS8",-0.106957904533368,1.41586349690226e-52
"GABRP",-0.106904814466151,1.59115075398226e-52
"PTPRZ1",-0.10689834673688,1.61393082636621e-52
"CES4A",-0.106823142045193,1.90388890459376e-52
"HSPA1A",-0.106782687699751,2.08075042639848e-52
"CCNL2",-0.106716972599287,2.4035664790464e-52
"NGEF",-0.106665310922489,2.69196768339598e-52
"SRPX",-0.10639276247348,4.88993938876957e-52
"CIDEA",-0.10595134323714,1.28153652707135e-51
"UQCRQ",-0.105745128045364,2.00724634531451e-51
"STK32A",-0.105637072544815,2.53838501699562e-51
"SLC26A2",-0.105498275424398,3.43056621881065e-51
"CERS4",-0.105440927866026,3.88473753258279e-51
"SEPTIN8",-0.105363126648417,4.59799208077043e-51
"CWH43",-0.10536299288585,4.59932431959462e-51
"LMO7",-0.105345281343699,4.77916380472492e-51
"CGN",-0.105116886197904,7.83259178721757e-51
"SERPINB2",-0.105055504026614,8.94308192400195e-51
"RCAN2",-0.105002318264646,1.00311893402522e-50
"ARHGAP40",-0.104897736261435,1.25698597005638e-50
"KPRP",-0.104875978940537,1.31735072738789e-50
"GDPD2",-0.104752254227011,1.71973371671614e-50
"TANC1",-0.104626596024925,2.25365939226057e-50
"GSE1",-0.104419784817685,3.51432196462994e-50
"HTRA1",-0.104294139318457,4.60128297669506e-50
"PPP1CB",-0.104258834504407,4.96294308566869e-50
"GATA3",-0.10416364248664,6.08533048313203e-50
"ALOX12B",-0.104098424544754,6.99682034912319e-50
"PLA2G4B",-0.104080412642512,7.27168463754757e-50
"ACTN4",-0.104080267545351,7.27394192553615e-50
"DVL1",-0.104060902601686,7.58154844595412e-50
"VIPR1",-0.104057437335399,7.63794348636281e-50
"PDE9A",-0.104049390576206,7.77051532711969e-50
"PTGS1",-0.10404934542148,7.77126568540073e-50
"TMEM8B",-0.104023526858428,8.21233456331315e-50
"SPARCL1",-0.103775458139996,1.39480600034296e-49
"IGFBP3",-0.103686380123238,1.68649397157575e-49
"DUSP7",-0.103678067388434,1.71663239029142e-49
"FRZB",-0.103667944454132,1.75405863453695e-49
"GSDMA",-0.103466659142597,2.69216795096223e-49
"TRPS1",-0.103454147491768,2.76474578122715e-49
"GGT2",-0.103410004868623,3.03671812103361e-49
"EXT1",-0.103374825455826,3.27240434977013e-49
"CAST",-0.103358327328951,3.38912098789795e-49
"KLK7",-0.103288150757668,3.93368866868359e-49
"PDLIM5",-0.103160729792658,5.1545020683337e-49
"PLSCR4",-0.103109481987362,5.74589200832296e-49
"NFIA",-0.103088840568328,6.00274684792233e-49
"LCE5A",-0.103011817408374,7.06621008425987e-49
"GAB1",-0.102974461449237,7.64755665058413e-49
"BOC",-0.102847645992704,9.99982816629659e-49
"SH3BP4",-0.102841653150846,1.0127281625457e-48
"GRHL3",-0.102704782938383,1.35215595423818e-48
"BCL2L2",-0.102659008245748,1.48926648281457e-48
"MGST3",-0.102643315888768,1.53938676180267e-48
"NGFR",-0.102641889677132,1.5440243675725e-48
"FAM189A2",-0.10261579671672,1.63136794897939e-48
"DAG1",-0.102573772599325,1.78249225748953e-48
"MGP",-0.102422833044362,2.44957530180621e-48
"WNT4",-0.102368202083655,2.74796098848524e-48
"EFHD1",-0.102294821906941,3.2064189252057e-48
"CAB39L",-0.102139523272615,4.44300041405548e-48
"ARHGAP32",-0.10213686247288,4.46788012408673e-48
"EPS8L1",-0.10206132683279,5.23505233551743e-48
"TP63",-0.102030966551989,5.57914130799447e-48
"PARVA",-0.101973061786088,6.29901828042357e-48
"FZD7",-0.101927904407389,6.92396025107e-48
"RBP7",-0.101864515655056,7.90662434280754e-48
"SSC5D",-0.101666630291215,1.19587558048194e-47
"GPT2",-0.101618914518005,1.32118198037389e-47
"NOVA1",-0.101577906908446,1.43925842813273e-47
"GLTP",-0.10154394976331,1.54494034934029e-47
"ATP2C2",-0.10153675940989,1.56829040088343e-47
"LUC7L3",-0.101517006144742,1.63426088961715e-47
"LDOC1",-0.101405095111213,2.06365685231169e-47
"COL7A1",-0.101352431312173,2.30290669241319e-47
"GPRIN2",-0.101281184737916,2.6710686959492e-47
"REXO2",-0.101187467386155,3.24592271416512e-47
"SCARA5",-0.101169287441275,3.37093670967489e-47
"PLCH2",-0.101098410573356,3.90578271790267e-47
"ABCA9",-0.101066397590205,4.17427369274068e-47
"PDE2A",-0.100940875481809,5.41628376160079e-47
"FN3K",-0.100929501681344,5.54554777763588e-47
"MYO5B",-0.100894165766167,5.96705309391848e-47
"CCDC8",-0.100872145871734,6.24568807425952e-47
"SEMA3B",-0.100859086531853,6.4170157184816e-47
"ZDHHC3",-0.100738911091916,8.23025553199971e-47
"JDP2",-0.100738436063954,8.23835076416792e-47
"ELF5",-0.100633414782259,1.02372764431901e-46
"GGH",-0.100619830878527,1.05288282857973e-46
"FZD1",-0.100602598935295,1.09105957590094e-46
"CEP170B",-0.100564348680751,1.18079528448482e-46
"RASAL1",-0.100562346890643,1.18568867666591e-46
"EHF",-0.100504076316917,1.33732458318587e-46
"PRXL2A",-0.1004754452063,1.41875191894285e-46
"ARPC1A",-0.100442052713907,1.51997218936204e-46
"CALML5",-0.100251721760969,2.25026859988769e-46
"KLK10",-0.100249345673064,2.26130711834774e-46
"MYL12B",-0.100200009934962,2.50307739853592e-46
"HSPA2",-0.1001929527087,2.5397026491595e-46
"HSPB7",-0.100184623287701,2.58361696266758e-46
"LRP5",-0.100156992069412,2.73477637570687e-46
"NME4",-0.100144667680574,2.80500577574299e-46
"GSTA4",-0.100000129193155,3.77552930452802e-46
