"gene","corr_estimate","pvalue"
"OGFR",0.151535280686453,2.96588260779576e-104
"GPR68",0.151514397746851,3.16723441356429e-104
"HNRNPA0",0.151344557099041,5.40171353580322e-104
"LIME1",0.151246588344794,7.34761640872001e-104
"HIST1H2BH",0.151195947580115,8.613460042428e-104
"DENND1C",0.151114666350507,1.11154258292878e-103
"PSMB4",0.150885561639645,2.27905621608273e-103
"RGCC",0.150792794020873,3.04704280426664e-103
"CMTM6",0.150670377818541,4.46876476882797e-103
"EML3",0.150623710460347,5.17071416236831e-103
"ARHGEF10L",0.150593531845699,5.68217927834833e-103
"KHDRBS1",0.150471263297804,8.32519713726047e-103
"PES1",0.150342376577068,1.24480373515343e-102
"NAIP",0.150321948578614,1.32671236894322e-102
"UNC13D",0.150135197524817,2.3746841824621e-102
"TRABD",0.150131913590522,2.39910257549011e-102
"TCF7",0.149607535172031,1.22518418851832e-101
"SEMA4A",0.149548248085793,1.47266478393662e-101
"SLC2A3",0.149404464348594,2.30010386016146e-101
"IKBKG",0.149225238826859,4.00729530767581e-101
"RNF130",0.149159317284678,4.9142448213463e-101
"IGF2R",0.149042179245234,7.05995594607834e-101
"SND1",0.148958411266868,9.14627118268777e-101
"GGNBP2",0.148774698421637,1.6129174335342e-100
"PSENEN",0.148608177382102,2.69557682895351e-100
"C16orf54",0.148348144800882,6.00373456179966e-100
"CLIC1",0.148264726470254,7.75981904020417e-100
"RNF4",0.148251873528092,8.07262429736225e-100
"F2R",0.148240606267754,8.35716886890111e-100
"TOR3A",0.148179875376831,1.00723007041471e-99
"CCDC88C",0.14808215479876,1.35988778833999e-99
"TRA2B",0.14807552567922,1.3878550352534e-99
"RBM42",0.148046218384003,1.51853677946708e-99
"LY9",0.147880133624381,2.52782454785943e-99
"DDX39A",0.147621898796776,5.57638608959231e-99
"SEPTIN9",0.14732476087515,1.3834077058246e-98
"DOK2",0.146956274084992,4.25745541257159e-98
"SYK",0.14684750281053,5.92946843363972e-98
"CD3G",0.146817434061967,6.49780192282476e-98
"HIST1H2AE",0.14672550558412,8.59494077815217e-98
"TNK2",0.146657345653297,1.0574502442723e-97
"DOCK2",0.146614793149919,1.20347171229203e-97
